Temperature   	Mass18	Mass51	Mass67	Mass28
3.1539E+2	1.7206E-10	2.1716E-12	2.1836E-12	1.1948E-10
3.1528E+2	1.1315E-10	2.4369E-12	7.8562E-12	1.3513E-10
3.1512E+2	1.1272E-10	1.9869E-12	7.5671E-12	1.4583E-10
3.1535E+2	1.0732E-10	3.6864E-12	2.0924E-12	1.4937E-10
3.1512E+2	1.3569E-10	2.6260E-12	3.4500E-13	9.7224E-11
3.1534E+2	1.1517E-10	8.7945E-12	5.2424E-12	1.0436E-10
3.1514E+2	1.4195E-10	6.8685E-12	1.1802E-11	1.6566E-10
3.1515E+2	1.1544E-10	5.8995E-12	1.8747E-12	1.5585E-10
3.1538E+2	1.2288E-10	5.6224E-12	1.3317E-12	1.5015E-10
3.1540E+2	6.5869E-11	5.5541E-12	6.8469E-12	9.7868E-11
3.1530E+2	1.5216E-10	6.2175E-12	1.9162E-12	1.0063E-10
3.1541E+2	1.1792E-10	6.4175E-12	2.1073E-12	2.2277E-10
3.1510E+2	5.5972E-11	6.9755E-12	7.6253E-12	1.1200E-10
3.1540E+2	1.3697E-10	6.8579E-12	2.5173E-12	1.4572E-10
3.1542E+2	1.8106E-10	2.7648E-12	7.8396E-12	1.3461E-10
3.1515E+2	1.7961E-10	1.0693E-11	2.2462E-12	1.0603E-10
3.1540E+2	3.6744E-11	3.8302E-12	2.0998E-12	1.2869E-10
3.1515E+2	6.0749E-11	1.0345E-11	7.6394E-12	1.2516E-10
3.1518E+2	1.2527E-10	1.0317E-11	8.1840E-13	1.0480E-10
3.1541E+2	8.0041E-11	2.3987E-12	9.6888E-12	1.5015E-10
3.1516E+2	1.1230E-10	4.3426E-12	9.7695E-12	1.0036E-10
3.1514E+2	1.2138E-10	7.2208E-12	9.0365E-12	1.2793E-10
3.1529E+2	8.4022E-11	8.9580E-13	0.0000E+0	1.5848E-10
3.1542E+2	1.1169E-10	5.0665E-12	1.2116E-12	7.5656E-11
